epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.4955,1.98284,5.15612,2.05981,0.49353,0.15774,0.17648,0.14763,1.31629,5.71991,1.39919,3.45e-06,3.45e-06,3.45e-06
2,75.6228,1.51693,4.56741,1.72519,0.50524,0.1369,0.17464,0.1459,1.32789,5.64204,1.40723,9.94014e-06,9.94014e-06,9.94014e-06
3,107.054,1.65647,4.66755,1.68189,0.51593,0.1369,0.17496,0.14502,1.33791,5.43381,1.4271,1.58838e-05,1.58838e-05,1.58838e-05
4,138.291,1.68174,4.41003,1.79031,0.5325,0.1369,0.17727,0.14611,1.30578,5.25614,1.41008,2.1281e-05,2.1281e-05,2.1281e-05
5,169.893,1.62324,4.35978,1.61476,0.50942,0.1369,0.1746,0.14356,1.30454,5.12669,1.41152,2.61317e-05,2.61317e-05,2.61317e-05
6,196.033,1.79932,4.46537,1.93812,0.52164,0.1369,0.17679,0.14356,1.3282,5.01372,1.41423,3.04359e-05,3.04359e-05,3.04359e-05
7,224.254,1.69601,4.95508,1.92623,0.51787,0.14569,0.18363,0.14754,1.35689,4.89543,1.42434,3.41936e-05,3.41936e-05,3.41936e-05
8,258.449,1.44285,4.11532,1.46103,0.51506,0.14442,0.18632,0.14546,1.37361,4.82107,1.42804,3.74049e-05,3.74049e-05,3.74049e-05
9,292.86,1.25215,3.78584,1.51163,0.51126,0.14563,0.18892,0.1432,1.33391,4.73383,1.40071,4.00697e-05,4.00697e-05,4.00697e-05
10,322.542,1.5757,4.01818,1.86539,0.17141,0.31131,0.2673,0.155,1.31442,4.66232,1.39211,4.2188e-05,4.2188e-05,4.2188e-05
11,353.518,1.74738,3.82388,1.77518,0.17124,0.2994,0.27224,0.15975,1.29937,4.59256,1.38283,4.37598e-05,4.37598e-05,4.37598e-05
12,382.8,1.09971,3.60818,1.42263,0.17124,0.2994,0.27224,0.15975,1.29937,4.59256,1.38283,4.47851e-05,4.47851e-05,4.47851e-05
13,419.301,1.30267,3.45066,1.52201,0.14908,0.29048,0.26143,0.15389,1.26523,4.45502,1.35876,4.5264e-05,4.5264e-05,4.5264e-05
14,446.15,1.30081,3.30519,1.52222,0.1774,0.38571,0.28978,0.22983,1.27332,4.38421,1.35963,4.51964e-05,4.51964e-05,4.51964e-05
15,477.1,1.12854,3.05691,1.35765,0.1774,0.38571,0.28978,0.22983,1.27332,4.38421,1.35963,4.45823e-05,4.45823e-05,4.45823e-05
16,824.572,1.1577,2.65847,1.45836,0.16559,0.30238,0.27319,0.22169,1.30395,4.25906,1.38626,4.34217e-05,4.34217e-05,4.34217e-05
17,857.338,0.57334,15.052,0.7187,0.17637,0.44821,0.34286,0.28907,1.32273,4.18847,1.39898,4.17146e-05,4.17146e-05,4.17146e-05
18,904.11,0.62748,13.8399,0.75363,0.17637,0.44821,0.34286,0.28907,1.32273,4.18847,1.39898,3.94611e-05,3.94611e-05,3.94611e-05
19,931.59,1.25457,3.23326,1.58659,0.19124,0.44821,0.35029,0.29648,1.35345,4.10814,1.41262,3.66611e-05,3.66611e-05,3.66611e-05
20,946.293,1.58337,3.28329,1.86304,0.19124,0.44821,0.35029,0.29648,1.35345,4.10814,1.41262,3.33146e-05,3.33146e-05,3.33146e-05
21,965.015,1.16293,2.89927,1.32163,0.18354,0.46012,0.35166,0.2937,1.32646,4.05814,1.39862,2.94216e-05,2.94216e-05,2.94216e-05
22,986.592,1.20794,2.85875,1.38019,0.18354,0.46012,0.35166,0.2937,1.32646,4.05814,1.39862,2.49821e-05,2.49821e-05,2.49821e-05
23,1006.44,1.49954,2.85819,1.74333,0.19027,0.54345,0.35653,0.2977,1.28866,3.98896,1.36852,1.99962e-05,1.99962e-05,1.99962e-05
24,1022.73,1.1474,2.80818,1.46657,0.19027,0.54345,0.35653,0.2977,1.28866,3.98896,1.36852,1.44638e-05,1.44638e-05,1.44638e-05
25,1040.15,1.21143,2.52891,1.52322,0.18862,0.46012,0.31165,0.26038,1.28774,3.95907,1.36115,8.38488e-06,8.38488e-06,8.38488e-06
